,Survived,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
116,0,2,1,29.0,1,0,21.0
117,0,1,1,24.0,0,1,247.5208
118,0,3,0,2.0,4,2,31.275
119,0,2,1,21.0,2,0,73.5
120,0,3,1,19.0,0,0,8.05
121,0,2,1,32.5,1,0,30.0708
122,1,2,0,32.5,0,0,13.0
123,0,1,1,54.0,0,1,77.2875
124,1,3,1,12.0,1,0,11.2417
125,0,3,1,19.0,0,0,7.75
126,1,3,1,24.0,0,0,7.1417
127,1,3,0,2.0,1,1,22.3583
128,0,3,1,45.0,0,0,6.975
129,0,3,1,33.0,0,0,7.8958
130,0,3,1,20.0,0,0,7.05
131,0,3,0,47.0,1,0,14.5
132,1,2,0,29.0,1,0,26.0
133,0,2,1,25.0,0,0,13.0
134,0,2,1,23.0,0,0,15.0458
135,1,1,0,19.0,0,2,26.2833
136,0,1,1,37.0,1,0,53.1
137,0,3,1,16.0,0,0,9.2167
138,0,1,1,24.0,0,0,79.2
139,0,3,0,40.0,0,2,15.2458
140,1,3,0,22.0,0,0,7.75
141,1,3,0,24.0,1,0,15.85
142,0,3,1,19.0,0,0,6.75
143,0,2,1,18.0,0,0,11.5
144,0,2,1,19.0,1,1,36.75
145,1,3,1,27.0,0,0,7.7958
146,0,3,0,9.0,2,2,34.375
147,0,2,1,36.5,0,2,26.0
148,0,2,1,42.0,0,0,13.0
149,0,2,1,51.0,0,0,12.525
150,1,1,0,22.0,1,0,66.6
151,0,3,1,55.5,0,0,8.05
152,0,3,1,40.5,0,2,14.5
153,0,3,1,27.0,0,0,7.3125
154,0,1,1,51.0,0,1,61.3792
155,1,3,0,16.0,0,0,7.7333
156,0,3,1,30.0,0,0,8.05
157,0,3,1,37.0,0,0,8.6625
158,0,3,1,5.0,8,2,69.55
159,0,3,1,44.0,0,1,16.1
160,1,2,0,40.0,0,0,15.75
161,0,3,1,26.0,0,0,7.775
162,0,3,1,17.0,0,0,8.6625
163,0,3,1,1.0,4,1,39.6875
164,1,3,1,9.0,0,2,20.525
165,1,1,0,48.0,0,1,55.0
166,0,3,0,45.0,1,4,27.9
167,0,1,1,60.0,0,0,25.925
168,0,3,1,28.0,0,0,56.4958
169,0,1,1,61.0,0,0,33.5
170,0,3,1,4.0,4,1,29.125
171,1,3,0,1.0,1,1,11.1333
172,0,3,1,21.0,0,0,7.925
173,0,1,1,56.0,0,0,30.6958
174,0,3,1,18.0,1,1,7.8542
175,0,3,1,5.0,3,1,25.4667
176,0,1,0,50.0,0,0,28.7125
177,0,2,1,30.0,0,0,13.0
178,0,3,1,36.0,0,0,0.0
179,0,3,0,8.0,8,2,69.55
180,0,2,1,39.0,0,0,15.05
181,0,3,1,9.0,4,2,31.3875
182,1,2,1,1.0,2,1,39.0
183,1,3,0,4.0,0,2,22.025
184,0,1,1,39.0,0,0,50.0
185,1,3,0,26.0,1,0,15.5
186,1,1,1,45.0,0,0,26.55
187,0,3,1,40.0,1,1,15.5
188,0,3,1,36.0,0,0,7.8958
189,1,2,0,32.0,0,0,13.0
190,0,2,1,19.0,0,0,13.0
191,1,3,0,19.0,1,0,7.8542
192,1,2,1,3.0,1,1,26.0
193,1,1,0,44.0,0,0,27.7208
194,1,1,0,58.0,0,0,146.5208
195,0,3,1,28.0,0,0,7.75
196,0,3,1,42.0,0,1,8.4042
197,1,3,0,21.0,0,0,7.75
198,0,2,0,24.0,0,0,13.0
199,0,3,1,28.0,0,0,9.5
200,0,3,1,17.0,8,2,69.55
201,0,3,1,34.0,0,0,6.4958
202,0,3,1,45.5,0,0,7.225
203,1,3,1,18.0,0,0,8.05
204,0,3,0,2.0,0,1,10.4625
205,0,3,1,32.0,1,0,15.85
206,1,3,1,26.0,0,0,18.7875
207,1,3,0,16.0,0,0,7.75
208,1,1,1,40.0,0,0,31.0
209,0,3,1,24.0,0,0,7.05
210,1,2,0,35.0,0,0,21.0
211,0,3,1,22.0,0,0,7.25
212,0,2,1,30.0,0,0,13.0
213,0,3,1,22.0,1,0,7.75
214,1,1,0,31.0,1,0,113.275
215,1,3,0,27.0,0,0,7.925
216,0,2,1,42.0,1,0,27.0
217,1,1,0,32.0,0,0,76.2917
218,0,2,1,30.0,0,0,10.5
219,1,3,1,16.0,0,0,8.05
220,0,2,1,27.0,0,0,13.0
221,0,3,1,51.0,0,0,8.05
222,0,3,1,22.0,0,0,7.8958
223,1,1,1,38.0,1,0,90.0
224,0,3,1,22.0,0,0,9.35
225,1,2,1,19.0,0,0,10.5
226,0,3,1,20.5,0,0,7.25
227,0,2,1,18.0,0,0,13.0
228,0,3,0,12.0,3,1,25.4667
229,1,1,0,35.0,1,0,83.475
230,0,3,1,29.0,0,0,7.775
231,0,2,1,59.0,0,0,13.5
232,1,3,0,5.0,4,2,31.3875
233,0,2,1,24.0,0,0,10.5
234,0,3,0,21.0,0,0,7.55
235,0,2,1,44.0,1,0,26.0
236,1,2,0,8.0,0,2,26.25
237,0,2,1,19.0,0,0,10.5
238,0,2,1,33.0,0,0,12.275
239,0,3,0,19.0,1,0,14.4542
240,1,3,0,18.0,1,0,15.5
241,0,2,1,29.0,0,0,10.5
242,0,3,1,22.0,0,0,7.125
243,0,3,1,30.0,0,0,7.225
244,0,1,1,44.0,2,0,90.0
245,0,3,0,25.0,0,0,7.775
246,1,2,0,24.0,0,2,14.5
247,1,1,1,37.0,1,1,52.5542
248,0,2,1,54.0,1,0,26.0
249,0,3,1,18.0,0,0,7.25
250,0,3,0,29.0,1,1,10.4625
251,0,1,1,62.0,0,0,26.55
252,0,3,1,30.0,1,0,16.1
253,0,3,0,41.0,0,2,20.2125
254,1,3,0,29.0,0,2,15.2458
255,1,1,0,38.0,0,0,79.2
256,1,1,0,30.0,0,0,86.5
257,1,1,0,35.0,0,0,512.3292
258,1,2,0,50.0,0,1,26.0
259,1,3,1,3.0,4,2,31.3875
260,0,1,1,52.0,1,1,79.65
261,0,1,1,40.0,0,0,0.0
262,0,3,0,21.0,0,0,7.75
263,0,2,1,36.0,0,0,10.5
264,0,3,1,16.0,4,1,39.6875
265,1,3,1,25.0,1,0,7.775
266,1,1,0,58.0,0,1,153.4625
267,1,1,0,35.0,0,0,135.6333
268,0,1,1,28.0,0,0,31.0
269,1,3,1,25.0,0,0,0.0
270,1,2,0,41.0,0,1,19.5
271,0,1,1,37.0,0,1,29.7
272,1,3,0,33.0,0,0,7.75
273,1,1,0,63.0,1,0,77.9583
274,0,3,0,45.0,0,0,7.75
275,0,2,1,21.0,0,0,0.0
276,0,3,1,7.0,4,1,29.125
277,1,3,0,35.0,1,1,20.25
278,0,3,1,65.0,0,0,7.75
279,0,3,1,28.0,0,0,7.8542
280,0,3,1,16.0,0,0,9.5
281,1,3,1,19.0,0,0,8.05
282,0,1,1,57.0,0,0,26.0
283,0,3,1,33.0,0,0,8.6625
284,1,3,1,30.0,0,0,9.5
285,0,3,1,22.0,0,0,7.8958
286,1,2,1,42.0,0,0,13.0
287,1,3,0,22.0,0,0,7.75
288,1,1,0,26.0,0,0,78.85
289,1,1,0,19.0,1,0,91.0792
290,0,2,1,36.0,0,0,12.875
291,0,3,0,24.0,0,0,8.85
292,0,3,1,24.0,0,0,7.8958
293,0,1,1,30.0,0,0,27.7208
294,0,3,1,23.5,0,0,7.2292
295,0,1,0,2.0,1,2,151.55
296,1,1,1,47.0,0,0,30.5
297,1,1,0,50.0,0,1,247.5208
298,1,3,0,20.0,0,0,7.75
299,1,3,1,24.0,2,0,23.25
300,0,3,1,19.0,0,0,0.0
301,1,2,0,46.0,0,0,12.35
302,0,3,1,28.0,0,0,8.05
303,1,1,1,0.92,1,2,151.55
304,1,1,0,42.0,0,0,110.8833
305,1,1,0,17.0,1,0,108.9
306,0,2,1,30.0,1,0,24.0
307,1,1,0,30.0,0,0,56.9292
308,1,1,0,24.0,0,0,83.1583
309,1,1,0,18.0,2,2,262.375
310,0,2,0,26.0,1,1,26.0
311,0,3,1,28.0,0,0,7.8958
312,0,2,1,43.0,1,1,26.25
313,1,3,0,26.0,0,0,7.8542
314,1,2,0,24.0,1,0,26.0
315,0,2,1,54.0,0,0,14.0
316,1,1,0,31.0,0,2,164.8667
317,1,1,0,40.0,1,1,134.5
318,0,3,1,22.0,0,0,7.25
319,0,3,1,27.0,0,0,7.8958
320,1,2,0,30.0,0,0,12.35
321,1,2,0,22.0,1,1,29.0
322,0,3,1,20.0,8,2,69.55
323,1,1,0,36.0,0,0,135.6333
324,0,3,1,61.0,0,0,6.2375
325,1,2,0,36.0,0,0,13.0
326,1,3,0,31.0,1,1,20.525
327,1,1,0,16.0,0,1,57.9792
328,1,3,0,28.0,2,0,23.25
329,0,1,1,45.5,0,0,28.5
330,0,1,1,38.0,0,1,153.4625
331,0,3,1,16.0,2,0,18.0
332,1,1,0,42.0,1,0,133.65
333,0,3,1,30.0,0,0,7.8958
334,0,1,1,29.0,1,0,66.6
335,1,1,0,41.0,0,0,134.5
336,1,3,1,45.0,0,0,8.05
337,0,1,1,45.0,0,0,35.5
338,1,2,1,2.0,1,1,26.0
339,1,1,0,24.0,3,2,263.0
340,0,2,1,28.0,0,0,13.0
341,0,2,1,25.0,0,0,13.0
342,0,2,1,36.0,0,0,13.0
343,1,2,0,24.0,0,0,13.0
344,1,2,0,40.0,0,0,13.0
345,1,3,0,34.0,1,0,16.1
346,1,3,1,3.0,1,1,15.9
347,0,3,1,42.0,0,0,8.6625
348,0,3,1,23.0,0,0,9.225
349,0,1,1,43.0,0,0,35.0
350,0,3,1,15.0,1,1,7.2292
351,0,3,1,25.0,1,0,17.8
352,0,3,1,23.0,0,0,7.225
353,0,3,1,28.0,0,0,9.5
354,1,1,0,22.0,0,1,55.0
355,0,2,0,38.0,0,0,13.0
356,1,3,0,22.0,0,0,7.8792
357,1,3,0,23.0,0,0,7.8792
358,0,3,1,40.0,1,4,27.9
359,0,2,1,29.0,1,0,27.7208
360,0,3,0,45.0,0,1,14.4542
361,0,3,1,35.0,0,0,7.05
362,0,3,1,27.0,1,0,15.5
363,0,3,1,30.0,0,0,7.25
364,1,1,0,60.0,1,0,75.25
365,1,3,0,35.0,0,0,7.2292
366,1,3,0,22.0,0,0,7.75
367,1,1,0,24.0,0,0,69.3
368,1,1,1,25.0,1,0,55.4417
369,0,3,1,18.0,1,0,6.4958
370,0,3,1,19.0,0,0,8.05
371,0,1,1,22.0,0,0,135.6333
372,0,3,0,3.0,3,1,21.075
373,1,1,0,25.0,1,0,82.1708
374,1,3,0,22.0,0,0,7.25
375,0,1,1,27.0,0,2,211.5
376,0,3,1,20.0,0,0,4.0125
377,0,3,1,19.0,0,0,7.775
378,1,1,0,42.0,0,0,227.525
379,1,3,0,1.0,0,2,15.7417
380,0,3,1,32.0,0,0,7.925
381,1,1,0,35.0,1,0,52.0
382,0,3,1,27.0,0,0,7.8958
383,0,2,1,18.0,0,0,73.5
384,0,3,1,1.0,5,2,46.9
385,1,2,0,36.0,0,0,13.0
386,0,3,1,19.0,0,0,7.7292
387,1,2,0,17.0,0,0,12.0
388,1,1,1,36.0,1,2,120.0
389,1,3,1,21.0,0,0,7.7958
390,0,3,1,28.0,2,0,7.925
391,1,1,0,23.0,1,0,113.275
392,1,3,0,24.0,0,2,16.7
393,0,3,1,22.0,0,0,7.7958
394,0,3,0,31.0,0,0,7.8542
395,0,2,1,46.0,0,0,26.0
396,0,2,1,23.0,0,0,10.5
397,1,2,0,28.0,0,0,12.65
398,1,3,1,39.0,0,0,7.925
399,0,3,1,26.0,0,0,8.05
400,0,3,0,21.0,1,0,9.825
401,0,3,1,28.0,1,0,15.85
402,0,3,0,20.0,0,0,8.6625
403,0,2,1,34.0,1,0,21.0
404,0,3,1,51.0,0,0,7.75
405,1,2,1,3.0,1,1,18.75
406,0,3,1,21.0,0,0,7.775
407,0,3,0,3.0,3,1,25.4667
408,0,3,1,42.0,0,0,7.8958
409,0,3,1,27.0,0,0,6.8583
410,1,1,0,33.0,1,0,90.0
411,0,2,1,22.0,0,0,0.0
412,1,3,1,44.0,0,0,7.925
413,0,3,0,32.0,0,0,8.05
414,1,2,0,34.0,1,1,32.5
415,1,2,0,18.0,0,2,13.0
416,0,2,1,30.0,0,0,13.0
417,0,3,0,10.0,0,2,24.15
418,0,3,1,21.0,0,0,7.7333
419,0,3,1,29.0,0,0,7.875
420,0,3,0,28.0,1,1,14.4
421,0,3,1,18.0,1,1,20.2125
422,0,3,1,54.0,0,0,7.25
423,1,2,0,28.0,1,0,26.0
424,1,2,0,19.0,0,0,26.0
425,0,3,1,28.0,0,0,7.75
426,1,3,1,32.0,0,0,8.05
427,1,1,1,28.0,0,0,26.55
428,1,3,0,33.0,1,0,16.1
429,1,2,0,42.0,1,0,26.0
430,0,3,1,17.0,0,0,7.125
431,0,1,1,50.0,1,0,55.9
432,1,1,0,14.0,1,2,120.0
433,0,3,0,21.0,2,2,34.375
434,1,2,0,24.0,2,3,18.75
435,0,1,1,64.0,1,4,263.0
436,0,2,1,31.0,0,0,10.5
437,1,2,0,45.0,1,1,26.25
438,0,3,1,20.0,0,0,9.5
439,0,3,1,25.0,1,0,7.775
440,1,2,0,28.0,0,0,13.0
441,1,3,1,29.0,0,0,8.1125
442,1,1,1,4.0,0,2,81.8583
443,1,2,0,13.0,0,1,19.5
444,1,1,1,34.0,0,0,26.55
445,1,3,0,5.0,2,1,19.2583
446,1,1,1,52.0,0,0,30.5
447,0,2,1,36.0,1,2,27.75
448,0,3,1,28.0,1,0,19.9667
449,0,1,1,30.0,0,0,27.75
450,1,1,1,49.0,1,0,89.1042
451,0,3,1,24.0,0,0,8.05
452,1,3,1,29.0,0,0,7.8958
453,0,1,1,65.0,0,0,26.55
454,1,1,0,41.0,1,0,51.8625
455,1,2,0,50.0,0,0,10.5
456,0,3,1,17.0,0,0,7.75
457,1,1,1,48.0,0,0,26.55
458,0,3,1,34.0,0,0,8.05
459,0,1,1,47.0,0,0,38.5
460,0,2,1,48.0,0,0,13.0
461,0,3,1,34.0,0,0,8.05
462,0,3,1,38.0,0,0,7.05
463,0,2,1,21.0,0,0,0.0
464,0,1,1,56.0,0,0,26.55
465,0,3,1,22.0,0,0,7.725
466,1,3,0,0.75,2,1,19.2583
467,0,3,1,39.0,0,0,7.25
468,0,3,1,38.0,0,0,8.6625
469,1,2,0,33.0,1,2,27.75
470,1,2,0,23.0,0,0,13.7917
471,0,3,0,22.0,0,0,9.8375
472,0,1,1,40.0,0,0,52.0
473,0,2,1,34.0,1,0,21.0
474,0,3,1,29.0,1,0,7.0458
475,0,3,1,22.0,0,0,7.5208
476,1,3,0,2.0,0,1,12.2875
477,0,3,1,9.0,5,2,46.9
478,0,2,1,37.0,0,0,0.0
479,0,3,1,50.0,0,0,8.05
480,1,3,0,63.0,0,0,9.5875
481,1,1,1,25.0,1,0,91.0792
482,0,3,0,8.0,3,1,25.4667
483,1,1,0,35.0,1,0,90.0
484,0,1,1,58.0,0,0,29.7
485,0,3,1,30.0,0,0,8.05
486,1,3,1,9.0,1,1,15.9
487,0,3,1,19.0,1,0,19.9667
488,0,3,1,21.0,0,0,7.25
489,0,1,1,55.0,0,0,30.5
490,0,1,1,71.0,0,0,49.5042
491,0,3,1,21.0,0,0,8.05
492,0,3,1,26.0,0,0,14.4583
493,1,1,0,54.0,1,0,78.2667
494,0,3,1,55.0,0,0,15.1
495,0,1,0,25.0,1,2,151.55
496,0,3,1,24.0,0,0,7.7958
497,0,3,1,17.0,0,0,8.6625
498,0,3,0,21.0,0,0,7.75
499,0,3,0,21.0,0,0,7.6292
500,0,3,0,37.0,0,0,9.5875
501,1,1,0,16.0,0,0,86.5
502,0,1,1,18.0,1,0,108.9
503,1,2,0,33.0,0,2,26.0
504,1,1,1,37.0,0,0,26.55
505,0,3,1,28.0,0,0,22.525
506,1,3,1,26.0,0,0,56.4958
507,1,3,1,29.0,0,0,7.75
508,0,3,1,66.0,0,0,8.05
509,1,1,1,36.0,0,0,26.2875
510,1,1,0,54.0,1,0,59.4
511,0,3,1,24.0,0,0,7.4958
512,0,1,1,47.0,0,0,34.0208
513,1,2,0,34.0,0,0,10.5
514,0,3,1,30.0,0,0,24.15
515,1,2,0,36.0,1,0,26.0
516,0,3,1,32.0,0,0,7.8958
517,1,1,0,30.0,0,0,93.5
518,0,3,1,22.0,0,0,7.8958
519,0,3,1,35.0,0,0,7.225
520,1,1,0,44.0,0,1,57.9792
521,0,3,1,18.0,0,0,7.2292
522,0,3,1,40.5,0,0,7.75
523,1,2,0,50.0,0,0,10.5
524,0,1,1,49.0,0,0,221.7792
525,0,3,1,39.0,0,0,7.925
526,0,2,1,23.0,2,1,11.5
527,1,2,0,2.0,1,1,26.0
528,0,3,1,17.0,0,0,7.2292
529,0,3,1,17.0,1,1,7.2292
530,1,3,0,24.0,0,2,22.3583
531,0,3,0,30.0,0,0,8.6625
532,1,2,0,7.0,0,2,26.25
533,0,1,1,45.0,0,0,26.55
534,1,1,0,30.0,0,0,106.425
535,0,3,1,69.0,0,0,14.5
536,1,1,0,22.0,0,2,49.5
537,1,1,0,36.0,0,2,71.0
538,0,3,0,9.0,4,2,31.275
539,0,3,0,11.0,4,2,31.275
540,1,2,1,32.0,1,0,26.0
541,0,1,1,50.0,1,0,106.425
542,0,1,1,64.0,0,0,26.0
543,1,2,0,19.0,1,0,26.0
544,1,2,1,27.0,0,0,13.8625
545,0,3,1,33.0,1,1,20.525
546,1,2,1,8.0,1,1,36.75
547,1,1,1,17.0,0,2,110.8833
548,0,2,1,27.0,0,0,26.0
549,0,3,1,21.0,0,0,7.8292
550,1,3,1,22.0,0,0,7.225
551,1,3,0,22.0,0,0,7.775
552,0,1,1,62.0,0,0,26.55
553,1,1,0,48.0,1,0,39.6
554,0,1,1,45.0,0,0,227.525
555,1,1,0,39.0,1,1,79.65
556,1,3,0,36.0,1,0,17.4
557,0,3,1,30.0,0,0,7.75
558,0,3,1,40.0,0,0,7.8958
559,0,2,1,28.0,0,0,13.5
560,0,3,1,40.0,0,0,8.05
561,0,3,0,62.0,0,0,8.05
562,0,3,1,24.0,2,0,24.15
563,0,3,1,19.0,0,0,7.8958
564,0,3,0,29.0,0,4,21.075
565,0,3,1,28.0,0,0,7.2292
566,1,3,1,32.0,0,0,7.8542
567,1,2,1,62.0,0,0,10.5
568,1,1,0,53.0,2,0,51.4792
569,1,1,1,36.0,0,0,26.3875
570,1,3,0,22.0,0,0,7.75
571,0,3,1,16.0,0,0,8.05
572,0,3,1,19.0,0,0,14.5
573,1,2,0,34.0,0,0,13.0
574,1,1,0,39.0,1,0,55.9
575,0,3,0,18.0,1,0,14.4583
576,1,3,1,32.0,0,0,7.925
577,1,2,0,25.0,1,1,30.0
578,1,1,0,39.0,1,1,110.8833
579,0,2,1,54.0,0,0,26.0
580,0,1,1,36.0,0,0,40.125
581,0,3,1,16.0,0,0,8.7125
582,1,1,0,18.0,0,2,79.65
583,0,2,1,47.0,0,0,15.0
584,1,1,1,60.0,1,1,79.2
585,0,3,1,22.0,0,0,8.05
586,0,3,1,22.0,0,0,8.05
587,0,3,1,35.0,0,0,7.125
588,1,1,0,52.0,1,0,78.2667
589,0,3,1,47.0,0,0,7.25
590,0,3,0,40.0,0,2,7.75
591,0,2,1,37.0,1,0,26.0
592,0,3,1,36.0,1,1,24.15
593,1,2,0,31.0,0,0,33.0
594,0,3,1,49.0,0,0,0.0
595,0,3,1,18.0,0,0,7.225
596,1,1,1,49.0,1,0,56.9292
597,1,2,0,24.0,2,1,27.0
598,0,3,1,42.0,0,0,7.8958
599,0,1,1,37.0,0,0,42.4
600,0,3,1,44.0,0,0,8.05
601,1,1,1,35.0,0,0,26.55
602,0,3,1,36.0,1,0,15.55
603,0,3,1,30.0,0,0,7.8958
604,1,1,1,27.0,0,0,30.5
605,1,2,0,22.0,1,2,41.5792
606,1,1,0,40.0,0,0,153.4625
607,0,3,0,39.0,1,5,31.275
608,0,3,1,21.0,0,0,7.05
609,1,3,0,18.0,1,0,15.5
610,0,3,1,22.0,0,0,7.75
611,0,3,1,35.0,0,0,8.05
612,1,2,0,24.0,1,2,65.0
613,0,3,1,34.0,1,1,14.4
614,0,3,0,26.0,1,0,16.1
615,1,2,0,4.0,2,1,39.0
616,0,2,1,26.0,0,0,10.5
617,0,3,1,27.0,1,0,14.4542
618,1,1,1,42.0,1,0,52.5542
619,1,3,1,20.0,1,1,15.7417
620,0,3,1,21.0,0,0,7.8542
621,0,3,1,21.0,0,0,16.1
622,0,1,1,61.0,0,0,32.3208
623,0,2,1,57.0,0,0,12.35
624,1,1,0,21.0,0,0,77.9583
625,0,3,1,26.0,0,0,7.8958
626,0,3,1,18.0,0,0,7.7333
627,1,1,1,80.0,0,0,30.0
628,0,3,1,51.0,0,0,7.0542
629,1,1,1,32.0,0,0,30.5
630,0,1,1,30.0,0,0,0.0
631,0,3,0,9.0,3,2,27.9
632,1,2,0,28.0,0,0,13.0
633,0,3,1,32.0,0,0,7.925
634,0,2,1,31.0,1,1,26.25
635,0,3,0,41.0,0,5,39.6875
636,0,3,1,37.0,1,0,16.1
637,0,3,1,20.0,0,0,7.8542
638,1,1,0,24.0,0,0,69.3
639,0,3,0,2.0,3,2,27.9
640,1,3,1,32.0,0,0,56.4958
641,1,3,0,0.75,2,1,19.2583
642,1,1,1,48.0,1,0,76.7292
643,0,3,1,19.0,0,0,7.8958
644,1,1,1,56.0,0,0,35.5
645,0,3,1,21.0,0,0,7.55
646,1,3,0,23.0,0,0,7.55
647,0,3,1,23.0,0,0,7.8958
648,1,2,0,18.0,0,1,23.0
649,0,3,1,21.0,0,0,8.4333
650,1,3,0,16.0,0,0,7.8292
651,0,3,0,18.0,0,0,6.75
652,0,2,1,24.0,2,0,73.5
653,0,3,1,27.0,0,0,7.8958
654,0,3,0,32.0,1,1,15.5
655,0,2,1,23.0,0,0,13.0
656,0,1,1,58.0,0,2,113.275
657,1,1,1,50.0,2,0,133.65
658,0,3,1,40.0,0,0,7.225
659,0,1,1,47.0,0,0,25.5875
660,0,3,1,36.0,0,0,7.4958
661,1,3,1,20.0,1,0,7.925
662,0,2,1,32.0,2,0,73.5
663,0,2,1,25.0,0,0,13.0
664,0,3,1,49.0,0,0,7.775
665,0,3,1,43.0,0,0,8.05
666,1,1,0,48.0,1,0,52.0
667,1,2,0,40.0,1,1,39.0
668,0,1,1,31.0,1,0,52.0
669,0,2,1,70.0,0,0,10.5
670,1,2,1,31.0,0,0,13.0
671,0,2,1,19.0,0,0,0.0
672,0,3,1,18.0,0,0,7.775
673,0,3,1,24.5,0,0,8.05
674,1,3,0,18.0,0,0,9.8417
675,0,3,0,43.0,1,6,46.9
676,1,1,1,36.0,0,1,512.3292
677,0,3,0,28.0,0,0,8.1375
678,1,1,1,27.0,0,0,76.7292
679,0,3,1,20.0,0,0,9.225
680,0,3,1,14.0,5,2,46.9
681,0,2,1,60.0,1,1,39.0
682,0,2,1,25.0,1,2,41.5792
683,0,3,1,14.0,4,1,39.6875
